id,identifier,trip_date,vehicle_id,driver_id
1393334,Jayadeva,04/14/23,1000233,1000263
1393335,Jayadeva,04/15/23,1000108,1000296
1393336,Kammanahalli,04/15/23,1000087,1000186
1393337,Kengeri,04/15/23,1000108,1000296
1393338,Kudulu,04/15/23,1000108,1000296
1393339,Nagharbavi,04/15/23,1000108,1000296
1393340,Varthur,04/15/23,1000176,1000301
1393315,Arekere,04/14/23,1000108,1000296
1393316,Begur,04/14/23,1000233,1000263
1393317,Begur,04/13/23,1000233,1000263
1393318,Hebbal,04/14/23,1000108,1000296
1393319,Hebbal,04/14/23,1000108,1000296
1393320,HSR Layout,04/14/23,1000233,1000263
1393321,Jayadeva,04/13/23,1000233,1000263
1393322,Jayadeva,04/14/23,1000108,1000296
1393323,Kammanahalli,04/14/23,1000087,1000186
1393324,Kengeri,04/14/23,1000108,1000296
1393325,Kudulu,04/14/23,1000108,1000296
1393326,Nagharbavi,04/14/23,1000108,1000296
1393327,Varthur,04/14/23,1000176,1000301
1393517,Begur,04/14/23,1000233,1000263
1393527,MG Road To Office,04/13/23,1000225,1000372
1393302,Arekere,04/13/23,1000233,1000263
1393303,Begur,04/13/23,1000233,1000263
1393304,Begur,04/12/23,1000233,1000263
1393305,Hebbal,04/13/23,1000108,1000296
1393306,Hebbal,04/13/23,1000108,1000296
1393307,HSR Layout,04/13/23,1000233,1000263
1393308,Jayadeva,04/12/23,1000233,1000263
1393309,Jayadeva,04/13/23,1000108,1000296
1393310,Kammanahalli,04/13/23,1000087,1000186
1393311,Kengeri,04/13/23,1000108,1000296
1393312,Kudulu,04/13/23,1000108,1000296
1393313,Nagharbavi,04/13/23,1000108,1000296
1393314,Varthur,04/13/23,1000176,1000301
1393289,Arekere,04/12/23,1000108,1000296
1393290,Begur,04/12/23,1000233,1000263
1393291,Begur,04/11/23,1000233,1000263
1393292,Hebbal,04/12/23,1000108,1000296
1393293,Hebbal,04/12/23,1000108,1000296
1393294,HSR Layout,04/12/23,1000233,1000263
1393295,Jayadeva,04/11/23,1000233,1000263
1393296,Jayadeva,04/12/23,1000233,1000263
1393297,Kammanahalli,04/12/23,1000087,1000186
1393298,Kengeri,04/12/23,1000108,1000296
1393299,Kudulu,04/12/23,1000108,1000296
1393300,Nagharbavi,04/12/23,1000108,1000296
1393301,Varthur,04/12/23,1000176,1000301
1393343,Fat Owl To Balegere,04/12/23,1000108,1000296
1393515,Jayadeva,04/12/23,1000233,1000263
1393516,Fat Owl To Jayadeva,04/12/23,1000233,1000263
1393526,MG Road To Office,04/12/23,1000225,1000372
1393514,Balegere,04/11/23,1000233,1000263
1393525,MG Road To Office,04/11/23,1000225,1000372
1393276,Arekere,04/11/23,1000233,1000263
1393277,Begur,04/11/23,1000233,1000263
1393278,Begur,04/10/23,1000233,1000263
1393279,Hebbal,04/11/23,1000108,1000296
1393280,Hebbal,04/11/23,1000108,1000296
1393281,HSR Layout,04/11/23,1000233,1000263
1393282,Jayadeva,04/10/23,1000233,1000263
1393283,Jayadeva,04/11/23,1000108,1000296
1393284,Kammanahalli,04/11/23,1000087,1000186
1393285,Kengeri,04/11/23,1000108,1000296
1393286,Kudulu,04/11/23,1000233,1000263
1393287,Nagharbavi,04/11/23,1000108,1000296
1393288,Varthur,04/11/23,1000176,1000301
1393342,Thippasandra,04/11/23,1000108,1000296
1393263,Arekere,04/10/23,1000233,1000263
1393264,Begur,04/10/23,1000233,1000263
1393265,Begur,04/09/23,1000233,1000263
1393266,Hebbal,04/10/23,1000108,1000296
1393267,Hebbal,04/10/23,1000108,1000296
1393268,HSR Layout,04/10/23,1000233,1000263
1393269,Jayadeva,04/09/23,1000108,1000296
1393270,Jayadeva,04/10/23,1000108,1000296
1393271,Kammanahalli,04/10/23,1000087,1000186
1393272,Kengeri,04/10/23,1000108,1000296
1393273,Kudulu,04/10/23,1000108,1000296
1393274,Nagharbavi,04/10/23,1000108,1000296
1393275,Varthur,04/10/23,1000176,1000301
1393341,Thippasandra,04/10/23,1000108,1000296
1393513,Balegere,04/10/23,1000233,1000263
1393512,MG Road To Bannerghatta,04/09/23,1000108,1000296
1393243,Arekere,04/08/23,1000233,1000263
1393244,Begur,04/08/23,1000233,1000263
1393245,Begur,04/07/23,1000233,1000263
1393246,Hebbal,04/08/23,1000108,1000296
1393247,Hebbal,04/07/23,1000108,1000296
1393248,HSR Layout,04/08/23,1000233,1000263
1393249,Jayadeva,04/07/23,1000233,1000263
1393250,Kammanahalli,04/08/23,1000108,1000296
1393251,Kengeri,04/08/23,1000108,1000296
1393252,Kudulu,04/08/23,1000108,1000296
1393253,Nagharbavi,04/08/23,1000108,1000296
1393254,Varthur,04/08/23,1000176,1000301
1393231,Arekere,04/07/23,1000233,1000263
1393232,Begur,04/07/23,1000233,1000263
1393233,Begur,04/06/23,1000233,1000263
1393234,Hebbal,04/07/23,1000108,1000296
1393235,Hebbal,04/06/23,1000108,1000296
1393236,HSR Layout,04/07/23,1000233,1000263
1393237,Jayadeva,04/06/23,1000233,1000263
1393238,Kammanahalli,04/07/23,1000087,1000186
1393239,Kengeri,04/07/23,1000108,1000296
1393240,Kudulu,04/07/23,1000108,1000296
1393241,Nagharbavi,04/07/23,1000108,1000296
1393242,Varthur,04/07/23,1000176,1000301
1393219,Arekere,04/06/23,1000108,1000296
1393220,Begur,04/06/23,1000233,1000263
1393221,Begur,04/05/23,1000233,1000263
1393222,Hebbal,04/06/23,1000108,1000296
1393223,Hebbal,04/05/23,1000108,1000296
1393224,HSR Layout,04/06/23,1000233,1000263
1393225,Jayadeva,04/05/23,1000108,1000296
1393226,Kammanahalli,04/06/23,1000087,1000186
1393227,Kengeri,04/06/23,1000108,1000296
1393228,Kudulu,04/06/23,1000108,1000296
1393229,Nagharbavi,04/06/23,1000108,1000296
1393230,Varthur,04/06/23,1000176,1000301
1393260,Jayadeva,04/06/23,1000108,1000296
1393261,Hebbal,04/06/23,1000108,1000296
1393262,Hebbal,04/06/23,1000108,1000296
1393524,MG Road To Office,04/06/23,1000225,1000372
1393523,MG Road To Office,04/05/23,1000225,1000372
1393207,Arekere,04/05/23,1000108,1000296
1393208,Begur,04/05/23,1000233,1000263
1393209,Begur,04/04/23,1000233,1000263
1393210,Hebbal,04/05/23,1000108,1000296
1393211,Hebbal,04/04/23,1000108,1000296
1393212,HSR Layout,04/05/23,1000233,1000263
1393213,Jayadeva,04/04/23,1000108,1000296
1393214,Kammanahalli,04/05/23,1000087,1000186
1393215,Kengeri,04/05/23,1000108,1000296
1393216,Kudulu,04/05/23,1000108,1000296
1393217,Nagharbavi,04/05/23,1000108,1000296
